source_id,target_id,relationship,relationship_zh,weight,description
master_dawson,tactic_dawson_01,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_02,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_03,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_04,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_05,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_06,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_07,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_08,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_09,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_10,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_11,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_12,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_13,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_14,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_15,HAS_TACTIC,包含策略,1.0,道森的核心原则
master_fisher,tactic_fisher_01,HAS_TACTIC,包含策略,1.0,费希尔核心原则一
master_fisher,tactic_fisher_02,HAS_TACTIC,包含策略,1.0,费希尔核心原则二
master_fisher,tactic_fisher_03,HAS_TACTIC,包含策略,1.0,费希尔核心原则三
master_fisher,tactic_fisher_04,HAS_TACTIC,包含策略,1.0,费希尔核心原则四
master_fisher,tactic_fisher_05,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_fisher,tactic_fisher_06,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_fisher,tactic_fisher_07,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_voss,tactic_voss_01,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_02,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_03,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_04,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_05,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_06,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_07,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_08,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_09,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_10,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_cohen,tactic_cohen_01,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_02,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_03,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_04,HAS_TACTIC,包含策略,1.0,科恩风格识别
master_cohen,tactic_cohen_05,HAS_TACTIC,包含策略,1.0,科恩双赢理念
master_cohen,tactic_cohen_06,HAS_TACTIC,包含策略,1.0,科恩心理策略
master_diamond,tactic_diamond_01,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_02,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_03,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_04,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_05,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_06,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_07,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_08,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_shell,tactic_shell_01,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_02,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_03,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_04,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_05,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_06,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_07,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_08,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_09,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_10,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_11,HAS_TACTIC,包含策略,1.0,谢尔六步骤
tactic_dawson_01,scenario_04,APPLIES_TO,适用于,0.9,价格锚定在商业谈判中高度有效
tactic_dawson_01,scenario_02,APPLIES_TO,适用于,0.8,分配博弈中的开价策略
tactic_dawson_02,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中保留决策空间
tactic_dawson_07,scenario_04,APPLIES_TO,适用于,0.9,让步节奏在多轮价格谈判中核心
tactic_dawson_09,scenario_05,APPLIES_TO,适用于,0.8,危机谈判中时间压力的双向作用
tactic_dawson_10,scenario_04,APPLIES_TO,适用于,0.9,商业合同收尾阶段最常见
tactic_dawson_12,scenario_05,APPLIES_TO,适用于,0.7,团队危机谈判中的角色分工
tactic_fisher_02,scenario_05,APPLIES_TO,适用于,0.9,危机谈判核心：挖掘深层需求
tactic_fisher_02,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判需要理解各方真实利益
tactic_fisher_05,scenario_04,APPLIES_TO,适用于,1.0,BATNA是商业谈判核心工具
tactic_voss_01,scenario_05,APPLIES_TO,适用于,1.0,危机谈判的核心技术
tactic_voss_02,scenario_05,APPLIES_TO,适用于,0.9,危机谈判信息获取技术
tactic_voss_03,scenario_05,APPLIES_TO,适用于,0.9,危机谈判情绪管理技术
tactic_voss_05,scenario_05,APPLIES_TO,适用于,0.9,危机谈判引导对方思考
tactic_cohen_01,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中权力感知的重要性
tactic_cohen_02,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中时间要素管理
tactic_diamond_03,scenario_05,APPLIES_TO,适用于,0.9,危机谈判必须先处理情绪
tactic_diamond_08,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判的核心价值交换
strategy_01,scenario_01,APPLIES_TO,适用于,1.0,TfT是囚徒困境的最优策略
strategy_02,scenario_02,APPLIES_TO,适用于,0.9,最后通牒博弈中锚定效应显著
strategy_02,scenario_04,APPLIES_TO,适用于,0.9,商业谈判价格锚定
strategy_03,scenario_04,APPLIES_TO,适用于,1.0,商业谈判必备工具
strategy_07,scenario_04,APPLIES_TO,适用于,0.8,商业谈判关键节点使用
strategy_10,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判的核心方法论
tactic_dawson_01,strategy_02,RELATED_TO,相关策略,0.9,都基于锚定效应原理
tactic_fisher_05,strategy_03,SAME_AS,等同概念,1.0,BATNA是同一概念
tactic_voss_02,comm_01,SAME_AS,等同概念,1.0,镜像技术在两个体系中相同
tactic_voss_01,comm_02,SAME_AS,等同概念,1.0,战术性同理心在两个体系中相同
tactic_voss_05,comm_03,SAME_AS,等同概念,1.0,校准问题在两个体系中相同
tactic_voss_03,comm_04,SAME_AS,等同概念,0.9,贴标签技术高度相似
tactic_voss_04,comm_05,SAME_AS,等同概念,1.0,不的力量在两个体系中相同
tactic_dawson_01,concept_08,BASED_ON,基于原理,0.9,狮子大开口基于锚定效应认知偏误
strategy_02,concept_08,BASED_ON,基于原理,1.0,锚定效应策略直接源自锚定认知偏误
strategy_04,concept_09,BASED_ON,基于原理,0.9,框架重构利用损失厌恶原理
strategy_06,concept_10,BASED_ON,基于原理,1.0,互惠原则直接源自互惠规范
strategy_01,concept_07,APPLIES_TO,适用于,1.0,TfT策略专为重复博弈设计
scenario_01,concept_03,ILLUSTRATES,示例,1.0,囚徒困境是非零和博弈经典案例
scenario_01,concept_01,FEATURES,涉及概念,0.9,囚徒困境的纳什均衡是双背叛
scenario_02,concept_02,FEATURES,涉及概念,0.8,最后通牒博弈涉及分配的公平性
scenario_03,concept_10,FEATURES,涉及概念,0.9,信任博弈测试互惠规范
scenario_04,concept_05,FEATURES,涉及概念,0.8,商业谈判中信息不对称关键
scenario_06,concept_03,ILLUSTRATES,示例,0.9,公共品博弈展示集体行动困境
defense_01,tactic_dawson_12,COUNTERS,破解,1.0,好警察坏警察的破解方法
defense_02,tactic_dawson_09,COUNTERS,破解,0.9,时间压力策略的识别与破解
defense_02,tactic_cohen_02,COUNTERS,破解,0.9,破解时间要素的滥用
defense_03,tactic_dawson_10,COUNTERS,破解,1.0,蚕食策略的防御方法
defense_04,tactic_dawson_02,COUNTERS,破解,0.9,虚假权威的破解
defense_04,tactic_dawson_05,COUNTERS,破解,0.8,请示上级策略的破解
defense_05,tactic_dawson_01,COUNTERS,破解,0.9,极端锚定的拆解方法
defense_05,strategy_02,COUNTERS,破解,0.9,锚定效应的防御
defense_06,tactic_dawson_10,COUNTERS,破解,0.8,最后关头蚕食的防御
tactic_dawson_12,opponent_03,EFFECTIVE_AGAINST,有效对抗,0.7,强硬对手可用心理压力分化
tactic_voss_01,opponent_02,EFFECTIVE_AGAINST,有效对抗,0.9,情感驱动型对手需要同理心
tactic_voss_01,opponent_05,EFFECTIVE_AGAINST,有效对抗,0.8,操纵型对手用同理心建立连接
strategy_02,opponent_06,EFFECTIVE_AGAINST,有效对抗,0.7,风险规避型对手受锚定影响较大
tactic_fisher_02,opponent_01,EFFECTIVE_AGAINST,有效对抗,0.8,理性对手需要了解其真实利益
tactic_cohen_01,opponent_03,EFFECTIVE_AGAINST,有效对抗,0.8,对抗强硬对手需要展示真实权力
strategy_07,opponent_02,EFFECTIVE_AGAINST,有效对抗,0.7,情感驱动型对手在沉默中更易让步
strategy_03,opponent_03,EFFECTIVE_AGAINST,有效对抗,0.9,BATNA是对抗强硬鹰派的核心武器
tactic_voss_03,opponent_02,EFFECTIVE_AGAINST,有效对抗,0.9,贴标签对情感驱动型效果最佳
tactic_diamond_04,opponent_01,RECOMMENDED_FOR,推荐用于,0.8,理性型需要定制化数据方案
tactic_diamond_04,opponent_02,RECOMMENDED_FOR,推荐用于,0.9,情感型需要完全不同的定制策略
tactic_diamond_04,opponent_05,RECOMMENDED_FOR,推荐用于,0.8,操纵型需要个性化识别其手段
opponent_01,profile_01,MATCHES_PROFILE,对应心理类型,0.7,理性分析型与战略家类型相似
opponent_02,profile_02,MATCHES_PROFILE,对应心理类型,0.7,情感驱动型与调解者类型相似
opponent_03,profile_03,MATCHES_PROFILE,对应心理类型,0.7,强硬鹰派与竞争者类型相似
opponent_04,profile_02,MATCHES_PROFILE,对应心理类型,0.8,合作共赢型与调解者类型高度相似
opponent_05,profile_01,MATCHES_PROFILE,对应心理类型,0.6,操纵型部分匹配战略家的冷静计算特征
opponent_06,profile_05,MATCHES_PROFILE,对应心理类型,0.7,风险规避型与分析师类型相似
tactic_shell_01,opponent_03,SIMILAR_TO,行为相似,0.8,竞争型风格与强硬鹰派行为相似
tactic_shell_02,opponent_04,SIMILAR_TO,行为相似,0.9,合作型风格与合作共赢型高度相似
tactic_shell_04,opponent_06,SIMILAR_TO,行为相似,0.7,回避型风格与风险规避型部分相似
tactic_cohen_04,opponent_03,SIMILAR_TO,行为相似,0.9,苏联式谈判与强硬鹰派战术高度吻合
tactic_cohen_04,opponent_05,SIMILAR_TO,行为相似,0.8,操纵型对手部分使用苏联式谈判手段
tactic_fisher_05,strategy_03,SAME_AS,等同概念,1.0,BATNA在费希尔体系与策略库中完全一致
tactic_dawson_07,tactic_voss_10,RELATED_TO,相关策略,0.9,两者都是让步递减节奏管理
tactic_dawson_09,tactic_cohen_02,RELATED_TO,相关策略,0.9,两者都强调时间作为谈判杠杆
tactic_voss_09,tactic_dawson_01,RELATED_TO,相关策略,0.8,极端锚定与狮子大开口策略相通
tactic_fisher_02,tactic_diamond_01,RELATED_TO,相关策略,0.8,聚焦利益与目标第一都强调核心诉求
tactic_fisher_03,tactic_diamond_08,RELATED_TO,相关策略,0.7,创造选项与等价交换都是价值创造
tactic_voss_01,tactic_diamond_03,RELATED_TO,相关策略,0.9,战术性同理心与情感先行理念一致
tactic_shell_06,tactic_fisher_05,RELATED_TO,相关策略,0.9,谢尔准备阶段包含BATNA分析
tactic_cohen_01,tactic_fisher_05,RELATED_TO,相关策略,0.8,权力要素与BATNA都是谈判底气来源
tactic_dawson_11,tactic_diamond_08,RELATED_TO,相关策略,0.8,打包策略与等价交换都是价值创造
strategy_08,tactic_dawson_07,RELATED_TO,相关策略,0.9,条件让步与让步节奏管理高度相关
strategy_10,tactic_fisher_02,RELATED_TO,相关策略,0.9,整合性谈判与聚焦利益原则完全相通
comm_01,tactic_voss_02,SAME_AS,等同概念,1.0,镜像技术完全一致
comm_02,tactic_voss_01,SAME_AS,等同概念,1.0,战术性同理心完全一致
comm_03,tactic_voss_05,SAME_AS,等同概念,1.0,校准问题完全一致
comm_04,tactic_voss_03,SAME_AS,等同概念,1.0,贴标签完全一致
comm_05,tactic_voss_04,SAME_AS,等同概念,1.0,不的力量完全一致
scenario_04,tactic_dawson_01,TRAINS,训练,0.9,商业谈判训练锚定开价技术
scenario_04,tactic_fisher_05,TRAINS,训练,1.0,商业谈判训练BATNA运用
scenario_05,tactic_voss_01,TRAINS,训练,1.0,危机谈判训练战术性同理心
scenario_05,tactic_voss_05,TRAINS,训练,0.9,危机谈判训练校准问题技术
scenario_01,strategy_01,TRAINS,训练,1.0,囚徒困境是TfT策略的训练场
scenario_07,strategy_10,TRAINS,训练,0.9,联盟谈判训练整合性谈判思维
scenario_02,concept_09,TRAINS,训练,0.8,最后通牒博弈揭示损失厌恶
scenario_03,concept_10,TRAINS,训练,0.9,信任博弈训练互惠原则运用
